RewindDepth	target	bestLength_thisBatch	totalGamesPlayed
1	312	312	335208
2	312	312	335666
3	312	312	336412
4	312	309	337466
5	312	336	338844
1	336	342	339044
1	342	342	339244
2	342	346	339702
1	346	346	339902
2	346	346	340360
3	346	351	341106
1	351	351	341306
2	351	351	341764
3	351	351	342510
4	351	346	343564
5	351	345	344942
6	351	345	346658
7	351	342	348724
8	351	345	351148
9	351	326	353940
10	351	315	357108
11	351	279	360660
12	351	286	364604
13	351	301	368946
14	351	297	373692
15	351	275	378848
1	275	281	379048
1	281	283	379248
1	283	283	379448
2	283	283	379906
3	283	290	380652
1	290	290	380852
2	290	290	381310
3	290	293	382056
1	293	293	382256
2	293	293	382714
3	293	290	383460
4	293	287	384514
5	293	293	385892
6	293	291	387608
7	293	295	389674
1	295	306	389874
1	306	306	390074
2	306	306	390532
3	306	306	391278
4	306	301	392332
5	306	313	393710
1	313	318	393910
1	318	318	394110
2	318	318	394568
3	318	340	395314
1	340	344	395514
1	344	344	395714
2	344	344	396172
3	344	347	396918
1	347	350	397118
1	350	350	397318
2	350	350	397776
3	350	350	398522
4	350	344	399576
5	350	341	400954
6	350	345	402670
7	350	331	404736
8	350	323	407160
9	350	299	409952
10	350	297	413120
11	350	296	416672
12	350	291	420616
13	350	315	424958
14	350	279	429704
15	350	262	434860
1	262	267	435060
1	267	267	435260
2	267	267	435718
3	267	267	436464
4	267	268	437518
1	268	268	437718
2	268	268	438176
3	268	268	438922
4	268	268	439976
5	268	271	441354
1	271	271	441554
2	271	271	442012
3	271	271	442758
4	271	271	443812
5	271	270	445190
6	271	273	446906
1	273	273	447106
2	273	275	447564
1	275	275	447764
2	275	275	448222
3	275	275	448968
4	275	274	450022
5	275	274	451400
6	275	274	453116
7	275	281	455182
1	281	281	455382
2	281	281	455840
3	281	281	456586
4	281	281	457640
5	281	295	459018
1	295	298	459218
1	298	298	459418
2	298	298	459876
3	298	298	460622
4	298	298	461676
5	298	298	463054
6	298	295	464770
7	298	300	466836
1	300	305	467036
1	305	305	467236
2	305	305	467694
3	305	305	468440
4	305	305	469494
5	305	308	470872
1	308	312	471072
1	312	310	471272
2	312	314	471730
1	314	314	471930
2	314	314	472388
3	314	316	473134
1	316	316	473334
2	316	316	473792
3	316	316	474538
4	316	317	475592
1	317	317	475792
2	317	317	476250
3	317	319	476996
1	319	321	477196
1	321	321	477396
2	321	321	477854
3	321	321	478600
4	321	318	479654
5	321	313	481032
6	321	308	482748
