RewindDepth	target	bestLength_thisBatch	totalGamesPlayed
1	513	513	107100
2	513	513	107300
3	513	515	107600
1	515	515	107700
2	515	515	107900
3	515	515	108200
4	515	516	108600
1	516	516	108700
2	516	516	108900
3	516	516	109200
4	516	516	109600
5	516	525	110100
1	525	528	110200
1	528	528	110300
2	528	535	110500
1	535	536	110600
1	536	536	110700
2	536	536	110900
3	536	540	111200
1	540	540	111300
2	540	540	111500
3	540	541	111800
1	541	541	111900
2	541	551	112100
1	551	551	112200
2	551	551	112400
3	551	545	112700
4	551	535	113100
5	551	531	113600
6	551	537	114200
7	551	532	114900
8	551	495	115700
9	551	492	116600
10	551	481	117600
1	481	499	117700
1	499	499	117800
2	499	499	118000
3	499	506	118300
1	506	506	118400
2	506	506	118600
3	506	507	118900
1	507	507	119000
2	507	507	119200
3	507	507	119500
4	507	506	119900
5	507	513	120400
1	513	514	120500
1	514	514	120600
2	514	519	120800
1	519	519	120900
2	519	519	121100
3	519	518	121400
4	519	521	121800
1	521	522	121900
1	522	522	122000
2	522	522	122200
3	522	522	122500
4	522	521	122900
5	522	521	123400
6	522	515	124000
7	522	509	124700
8	522	512	125500
9	522	474	126400
10	522	479	127400
11	522	477	128500
12	522	448	129700
1	448	456	129800
1	456	456	129900
2	456	464	130100
1	464	464	130200
2	464	464	130400
3	464	478	130700
1	478	479	130800
1	479	479	130900
2	479	479	131100
3	479	482	131400
1	482	483	131500
1	483	483	131600
2	483	483	131800
3	483	483	132100
4	483	479	132500
5	483	485	133000
1	485	487	133100
1	487	487	133200
2	487	487	133400
3	487	487	133700
4	487	487	134100
5	487	484	134600
6	487	483	135200
7	487	477	135900
8	487	497	136700
1	497	497	136800
2	497	502	137000
1	502	502	137100
2	502	502	137300
3	502	504	137600
1	504	504	137700
2	504	505	137900
1	505	505	138000
2	505	505	138200
3	505	507	138500
1	507	507	138600
2	507	507	138800
3	507	507	139100
4	507	512	139500
1	512	512	139600
2	512	512	139800
3	512	512	140100
4	512	511	140500
5	512	515	141000
1	515	526	141100
1	526	526	141200
2	526	526	141400
3	526	530	141700
1	530	530	141800
2	530	530	142000
3	530	528	142300
4	530	533	142700
1	533	537	142800
1	537	537	142900
2	537	541	143100
1	541	541	143200
2	541	541	143400
3	541	534	143700
4	541	535	144100
5	541	531	144600
6	541	529	145200
7	541	518	145900
8	541	518	146700
9	541	511	147600
10	541	496	148600
11	541	494	149700
12	541	482	150900
13	541	421	152200
1	421	432	152300
1	432	432	152400
2	432	432	152600
3	432	436	152900
1	436	436	153000
2	436	435	153200
3	436	437	153500
1	437	440	153600
1	440	440	153700
2	440	440	153900
3	440	446	154200
1	446	447	154300
1	447	447	154400
2	447	447	154600
3	447	447	154900
4	447	492	155300
1	492	492	155400
2	492	499	155600
1	499	499	155700
2	499	499	155900
3	499	499	156200
4	499	499	156600
5	499	499	157100
6	499	513	157700
1	513	515	157800
1	515	515	157900
2	515	536	158100
1	536	536	158200
2	536	536	158400
3	536	536	158700
4	536	539	159100
1	539	541	159200
1	541	541	159300
2	541	541	159500
3	541	543	159800
1	543	544	159900
1	544	544	160000
2	544	544	160200
3	544	545	160500
1	545	545	160600
2	545	545	160800
3	545	545	161100
4	545	545	161500
5	545	544	162000
6	545	547	162600
1	547	548	162700
1	548	548	162800
2	548	548	163000
3	548	553	163300
1	553	553	163400
2	553	553	163600
3	553	556	163900
1	556	556	164000
2	556	556	164200
3	556	551	164500
4	556	553	164900
5	556	545	165400
6	556	541	166000
7	556	551	166700
8	556	511	167500
9	556	499	168400
10	556	442	169400
1	442	442	169500
2	442	444	169700
1	444	445	169800
1	445	445	169900
2	445	442	170100
3	445	442	170400
4	445	442	170800
5	445	483	171300
1	483	504	171400
1	504	504	171500
2	504	504	171700
3	504	516	172000
1	516	516	172100
2	516	516	172300
3	516	516	172600
4	516	515	173000
5	516	513	173500
6	516	521	174100
1	521	521	174200
2	521	521	174400
3	521	532	174700
1	532	532	174800
2	532	533	175000
1	533	533	175100
2	533	533	175300
3	533	533	175600
4	533	532	176000
5	533	524	176500
6	533	541	177100
1	541	541	177200
2	541	541	177400
3	541	545	177700
1	545	545	177800
2	545	545	178000
3	545	545	178300
4	545	541	178700
5	545	538	179200
6	545	533	179800
7	545	534	180500
8	545	510	181300
9	545	498	182200
10	545	489	183200
11	545	471	184300
1	471	483	184400
1	483	493	184500
1	493	495	184600
1	495	495	184700
2	495	493	184900
3	495	501	185200
1	501	501	185300
2	501	508	185500
1	508	508	185600
2	508	508	185800
3	508	508	186100
4	508	511	186500
1	511	511	186600
2	511	512	186800
1	512	512	186900
2	512	512	187100
3	512	511	187400
4	512	508	187800
5	512	529	188300
1	529	529	188400
2	529	529	188600
3	529	529	188900
4	529	529	189300
5	529	529	189800
6	529	520	190400
7	529	525	191100
8	529	531	191900
1	531	535	192000
1	535	534	192100
2	535	538	192300
1	538	540	192400
1	540	540	192500
2	540	540	192700
3	540	539	193000
4	540	539	193400
5	540	535	193900
6	540	536	194500
7	540	535	195200
8	540	521	196000
9	540	510	196900
10	540	513	197900
11	540	488	199000
12	540	490	200200
13	540	466	201500
1	466	505	201600
1	505	505	201700
2	505	505	201900
3	505	505	202200
4	505	509	202600
1	509	509	202700
2	509	509	202900
3	509	509	203200
4	509	510	203600
1	510	510	203700
2	510	511	203900
1	511	511	204000
2	511	511	204200
3	511	511	204500
4	511	509	204900
5	511	514	205400
1	514	514	205500
2	514	531	205700
1	531	531	205800
2	531	531	206000
3	531	531	206300
4	531	537	206700
1	537	537	206800
2	537	537	207000
3	537	531	207300
4	537	535	207700
5	537	543	208200
1	543	543	208300
2	543	550	208500
1	550	550	208600
2	550	550	208800
3	550	550	209100
4	550	544	209500
5	550	542	210000
6	550	540	210600
7	550	522	211300
8	550	525	212100
9	550	533	213000
10	550	538	214000
11	550	516	215100
12	550	496	216300
13	550	476	217600
1	476	524	217700
1	524	530	217800
1	530	530	217900
2	530	531	218100
1	531	531	218200
2	531	530	218400
3	531	534	218700
1	534	534	218800
2	534	534	219000
3	534	536	219300
1	536	536	219400
2	536	541	219600
1	541	532	219700
2	541	540	219900
3	541	537	220200
4	541	534	220600
5	541	521	221100
6	541	522	221700
7	541	519	222400
8	541	519	223200
9	541	527	224100
10	541	525	225100
11	541	496	226200
12	541	431	227400
1	431	465	227500
1	465	465	227600
2	465	465	227800
3	465	465	228100
4	465	470	228500
1	470	470	228600
2	470	478	228800
1	478	478	228900
2	478	478	229100
3	478	478	229400
4	478	470	229800
5	478	485	230300
1	485	500	230400
1	500	500	230500
2	500	504	230700
1	504	506	230800
1	506	506	230900
2	506	506	231100
3	506	506	231400
4	506	505	231800
5	506	517	232300
1	517	517	232400
2	517	518	232600
1	518	518	232700
2	518	520	232900
1	520	520	233000
2	520	520	233200
3	520	519	233500
4	520	522	233900
1	522	522	234000
2	522	522	234200
3	522	522	234500
4	522	523	234900
1	523	523	235000
2	523	523	235200
3	523	523	235500
4	523	525	235900
1	525	525	236000
2	525	525	236200
3	525	525	236500
4	525	522	236900
5	525	521	237400
6	525	504	238000
7	525	493	238700
8	525	501	239500
9	525	507	240400
10	525	500	241400
11	525	483	242500
12	525	386	243700
1	386	390	243800
1	390	390	243900
2	390	502	244100
1	502	502	244200
2	502	502	244400
3	502	502	244700
4	502	521	245100
1	521	523	245200
1	523	523	245300
2	523	523	245500
3	523	525	245800
1	525	525	245900
2	525	525	246100
3	525	523	246400
4	525	523	246800
5	525	520	247300
6	525	517	247900
7	525	507	248600
8	525	512	249400
9	525	453	250300
1	453	463	250400
1	463	463	250500
2	463	463	250700
3	463	457	251000
4	463	461	251400
5	463	502	251900
1	502	504	252000
1	504	504	252100
2	504	521	252300
1	521	521	252400
2	521	522	252600
1	522	522	252700
2	522	522	252900
3	522	521	253200
4	522	524	253600
1	524	524	253700
2	524	524	253900
3	524	524	254200
4	524	523	254600
5	524	528	255100
1	528	528	255200
2	528	530	255400
1	530	531	255500
1	531	531	255600
2	531	531	255800
3	531	534	256100
